Column1,Column2,Column3
"Home Runs
All Time Leaders | 'Top 1,000'","Home Runs
All Time Leaders | 'Top 1,000'","Home Runs
All Time Leaders | 'Top 1,000'"
Name,Home Runs,Rank
Barry Bonds,762,1
Hank Aaron,755,2
Babe Ruth,714,3
Albert Pujols,703,4
Alex Rodriguez,696,5
Willie Mays,660,6
"Ken Griffey, Jr.",630,7
Jim Thome,612,8
Sammy Sosa,609,9
Frank Robinson,586,10
Mark McGwire,583,11
Harmon Killebrew,573,12
Rafael Palmeiro,569,13
Reggie Jackson,563,14
Manny Ramirez,555,15
Mike Schmidt,548,16
David Ortiz,541,17
Mickey Mantle,536,18
Jimmie Foxx,534,19
Willie McCovey,521,20
Frank Thomas,521,
Ted Williams,521,
Ernie Banks,512,23
Eddie Mathews,512,
Miguel Cabrera,511,25
Mel Ott,511,
Gary Sheffield,509,27
Eddie Murray,504,28
Lou Gehrig,493,29
Fred McGriff,493,
Adrián Beltré,477,31
Stan Musial,475,32
Willie Stargell,475,
Carlos Delgado,473,34
Chipper Jones,468,35
Dave Winfield,465,36
Nelson Cruz,464,37
Jose Canseco,462,38
Adam Dunn,462,
Carl Yastrzemski,452,40
Jeff Bagwell,449,41
Vladimir Guerrero,449,
Dave Kingman,442,43
Jason Giambi,440,44
Paul Konerko,439,45
Andre Dawson,438,46
Carlos Beltran,435,47
Juan Gonzalez,434,48
Andruw Jones,434,
"Cal Ripken, Jr.",431,50
Giancarlo Stanton,429,51
Mike Piazza,427,52
Billy Williams,426,53
Edwin Encarnacion,424,54
Darrell Evans,414,55
Alfonso Soriano,412,56
Mark Teixeira,409,57
Duke Snider,407,58
Andres Galarraga,399,59
Al Kaline,399,
Dale Murphy,398,61
Joe Carter,396,62
Jim Edmonds,393,63
Graig Nettles,390,64
Johnny Bench,389,65
Aramis Ramirez,386,66
Dwight Evans,385,67
Harold Baines,384,68
Larry Walker,383,69
Frank Howard,382,70
Ryan Howard,382,
Jim Rice,382,
Albert Belle,381,73
Orlando Cepeda,379,74
Tony Perez,379,
Mike Trout,378,76
Matt Williams,378,
Norm Cash,377,78
Jeff Kent,377,
Carlton Fisk,376,80
Rocky Colavito,374,81
Gil Hodges,370,82
Todd Helton,369,83
Ralph Kiner,369,
Lance Berkman,366,85
Paul Goldschmidt,362,86
Joe DiMaggio,361,87
Gary Gaetti,360,88
Johnny Mize,359,89
Yogi Berra,358,90
Carlos Lee,358,
Joey Votto,356,92
Greg Vaughn,355,93
Luis Gonzalez,354,94
Lee May,354,
Torii Hunter,353,96
Ryan Braun,352,97
Ellis Burks,352,
Dick Allen,351,99
Chili Davis,350,100
George Foster,348,101
Jose Bautista,344,102
Curtis Granderson,344,
Freddie Freeman,343,104
Evan Longoria,342,105
Manny Machado,342,
Ron Santo,342,
Nolan Arenado,341,108
Jack Clark,340,109
Tino Martinez,339,110
Dave Parker,339,
Boog Powell,339,
Don Baylor,338,113
Joe Adcock,336,114
Bryce Harper,336,
Robinson Cano,335,116
Darryl Strawberry,335,
Moises Alou,332,118
Bobby Bonds,332,
Hank Greenberg,331,120
Derrek Lee,331,
J.D. Martinez,331,
Shawn Green,328,123
Mo Vaughn,328,
Jermaine Dye,325,125
Willie Horton,325,
Justin Upton,325,
Gary Carter,324,128
Lance Parrish,324,
Carlos Santana,324,
Ron Gant,321,131
Vinny Castilla,320,132
Troy Glaus,320,
Jay Bruce,319,134
Cecil Fielder,319,
Prince Fielder,319,
Andrew McCutchen,319,
Roy Sievers,318,138
George Brett,317,139
Adrian Gonzalez,317,
Ron Cey,316,141
Matt Holliday,316,
Scott Rolen,316,
Jeromy Burnitz,315,144
Aaron Judge,315,
Reggie Smith,314,146
Ivan Rodriguez,311,147
Jay Buhner,310,148
Edgar Martinez,309,149
Greg Luzinski,307,150
Al Simmons,307,
Miguel Tejada,307,
Fred Lynn,306,153
Richie Sexson,306,
Ruben Sierra,306,
Raul Ibanez,305,156
David Justice,305,
Reggie Sanders,305,
Steve Finley,304,159
Anthony Rizzo,303,160
Rogers Hornsby,301,161
Chuck Klein,300,162
Tim Salmon,299,163
Mark Reynolds,298,164
Rickey Henderson,297,165
Chris Davis,295,166
Magglio Ordonez,294,167
Robin Ventura,294,
Kent Hrbek,293,169
Pat Burrell,292,170
Rusty Staub,292,
Craig Biggio,291,172
Jimmy Wynn,291,
Bobby Abreu,288,174
Del Ennis,288,
Bob Johnson,288,
Hank Sauer,288,
Garret Anderson,287,178
Bobby Bonilla,287,
Brian Giles,287,
Matt Kemp,287,
Bernie Williams,287,
Carlos Pena,286,183
Frank Thomas,286,
Will Clark,284,185
Eric Karros,284,
Kyle Schwarber,284,
Ryan Zimmerman,284,
Ken Boyer,282,189
Eric Davis,282,
Adam Jones,282,
Brian McCann,282,
Ryne Sandberg,282,
Paul O'Neill,281,194
Josh Donaldson,279,195
Ted Kluszewski,279,
Mike Cameron,278,197
Ryan Klesko,278,
Rudy York,277,199
Eugenio Suárez,276,200
Brian Downing,275,201
Roger Maris,275,
Marcell Ozuna,275,
Dean Palmer,275,
Jorge Posada,275,
Dante Bichette,274,206
Salvador Perez,273,207
Steve Garvey,272,208
Mookie Betts,271,209
Tom Brunansky,271,
Raul Mondesi,271,
Hanley Ramirez,271,
George Scott,271,
Vernon Wells,270,214
Joe Morgan,268,215
Brooks Robinson,268,
Gorman Thomas,268,
George Hendrick,267,218
Mike Napoli,267,
Vic Wertz,266,220
George Bell,265,221
Matt Stairs,265,
Bobby Thomson,264,223
José Abreu,263,224
Danny Tartabull,262,225
George Springer,261,226
Eric Chavez,260,227
Derek Jeter,260,
Javy Lopez,260,
Tim Wallach,260,
Matt Olson,259,231
Chase Utley,259,
Ian Kinsler,257,233
Bob Allison,256,234
Larry Parrish,256,
Vada Pinson,256,
Kirk Gibson,255,237
Adam LaRoche,255,
John Mayberry,255,
John Olerud,255,
José Ramírez,255,
Larry Doby,253,242
Joe Gordon,253,
Andre Thornton,253,
Todd Zeile,253,
Bret Boone,252,246
Bobby Murcer,252,
Joe Torre,252,
Tony Armas,251,249
Tony Clark,251,
Cy Williams,251,
Robin Yount,251,
Jose Valentin,249,253
Goose Goslin,248,254
Francisco Lindor,248,
Ted Simmons,248,
Justin Morneau,247,257
