Column1,Column2,Column3,Column4,Column5
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Yogi Berra*,1946-1965,10,10,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Joe DiMaggio*,1936-1951,9,9,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Bill Dickey*,1928-1946,8,7,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Phil Rizzuto*,1941-1956,8,7,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Frankie Crosetti,1932-1948,8,6,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Lou Gehrig*,1923-1939,8,6,"NYY,NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Hank Bauer,1948-1961,7,7,"NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Mickey Mantle*,1951-1968,7,7,"NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Babe Ruth*,1914-1935,7,7,"BOS,BOS,BOS,NYY,NYY,NYY,NYY"
Johnny Murphy,1932-1947,7,6,"NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Tommy Henrich,1937-1950,7,4,"NYY,NYY,NYY,NYY,NYY,NYY,NYY"
Herb Pennock*,1912-1934,7,3,"PHA,BOS,BOS,NYY,NYY,NYY,NYY"
Whitey Ford*,1950-1967,6,6,"NYY,NYY,NYY,NYY,NYY,NYY"
Vic Raschi,1946-1955,6,6,"NYY,NYY,NYY,NYY,NYY,NYY"
Allie Reynolds,1942-1954,6,6,"NYY,NYY,NYY,NYY,NYY,NYY"
Red Ruffing*,1924-1947,6,6,"NYY,NYY,NYY,NYY,NYY,NYY"
Joe Collins,1948-1957,6,5,"NYY,NYY,NYY,NYY,NYY,NYY"
Lefty Gomez*,1930-1943,6,5,"NYY,NYY,NYY,NYY,NYY,NYY"
Jerry Coleman,1949-1957,6,4,"NYY,NYY,NYY,NYY,NYY,NYY"
Eddie Collins*,1906-1930,6,4,"PHA,PHA,PHA,CHW,PHA,PHA"
Spud Chandler,1937-1947,6,3,"NYY,NYY,NYY,NYY,NYY,NYY"
Charlie Keller,1939-1952,6,3,"NYY,NYY,NYY,NYY,NYY,NYY"
Tommy Byrne,1943-1957,6,2,"NYY,NYY,NYY,NYY,NYY,NYY"
Ralph Houk,1947-1954,6,2,"NYY,NYY,NYY,NYY,NYY,NYY"
Bob Cerv,1951-1962,6,1,"NYY,NYY,NYY,NYY,NYY,NYY"
Charlie Silvera,1948-1957,6,1,"NYY,NYY,NYY,NYY,NYY,NYY"
David Cone,1986-2003,5,5,"TOR,NYY,NYY,NYY,NYY"
Joe Gordon*,1938-1950,5,5,"NYY,NYY,NYY,NYY,CLE"
Catfish Hunter*,1965-1979,5,5,"OAK,OAK,OAK,NYY,NYY"
Derek Jeter*,1995-2014,5,5,"NYY,NYY,NYY,NYY,NYY"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Tony Lazzeri*,1926-1939,5,5,"NYY,NYY,NYY,NYY,NYY"
Eddie Lopat,1944-1955,5,5,"NYY,NYY,NYY,NYY,NYY"
Gil McDougald,1951-1960,5,5,"NYY,NYY,NYY,NYY,NYY"
Johnny Mize*,1936-1953,5,5,"NYY,NYY,NYY,NYY,NYY"
Paul O'Neill,1985-2001,5,5,"CIN,NYY,NYY,NYY,NYY"
Andy Pettitte,1995-2013,5,5,"NYY,NYY,NYY,NYY,NYY"
Mariano Rivera*,1995-2013,5,5,"NYY,NYY,NYY,NYY,NYY"
Red Rolfe,1931-1942,5,5,"NYY,NYY,NYY,NYY,NYY"
George Selkirk,1934-1942,5,5,"NYY,NYY,NYY,NYY,NYY"
Bill Skowron,1954-1967,5,5,"NYY,NYY,NYY,NYY,LAD"
Gene Woodling,1943-1962,5,5,"NYY,NYY,NYY,NYY,NYY"
Jack Barry,1908-1919,5,4,"PHA,PHA,PHA,BOS,BOS"
Bobby Brown,1946-1954,5,4,"NYY,NYY,NYY,NYY,NYY"
Johnny Hopp,1939-1952,5,4,"STL,STL,NYY,NYY,NYY"
Reggie Jackson*,1967-1987,5,4,"OAK,OAK,OAK,NYY,NYY"
Billy Johnson,1943-1953,5,4,"NYY,NYY,NYY,NYY,NYY"
Billy Martin,1950-1961,5,4,"NYY,NYY,NYY,NYY,NYY"
Stuffy McInnis,1909-1927,5,4,"PHA,PHA,PHA,BOS,PIT"
Jorge Posada,1995-2011,5,4,"NYY,NYY,NYY,NYY,NYY"
Ken Holtzman,1965-1979,5,3,"OAK,OAK,OAK,NYY,NYY"
Johnny Lindell,1941-1954,5,3,"NYY,NYY,NYY,NYY,NYY"
Dal Maxvill,1962-1975,5,3,"STL,STL,OAK,OAK,OAK"
Luis Sojo,1990-2003,5,3,"TOR,NYY,NYY,NYY,NYY"
Ramiro Mendoza,1996-2005,5,2,"NYY,NYY,NYY,NYY,BOS"
Arndt Jorgens,1929-1939,5,0,"NYY,NYY,NYY,NYY,NYY"
Paul Blair,1964-1980,4,4,"BAL,BAL,NYY,NYY"
Frankie Frisch*,1919-1937,4,4,"NYG,NYG,STL,STL"
Larry Gardner,1908-1924,4,4,"BOS,BOS,BOS,CLE"
Jim Gilliam,1946-1966,4,4,"BRO,LAD,LAD,LAD"
Orlando Hernández,1998-2007,4,4,"NYY,NYY,NYY,CHW"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Harry Hooper*,1909-1925,4,4,"BOS,BOS,BOS,BOS"
Elston Howard,1948-1968,4,4,"NYY,NYY,NYY,NYY"
Chuck Knoblauch,1991-2002,4,4,"MIN,NYY,NYY,NYY"
Tino Martinez,1990-2005,4,4,"NYY,NYY,NYY,NYY"
Jeff Nelson,1992-2006,4,4,"NYY,NYY,NYY,NYY"
Monte Pearson,1932-1941,4,4,"NYY,NYY,NYY,NYY"
Everett Scott,1914-1926,4,4,"BOS,BOS,BOS,NYY"
Enos Slaughter*,1938-1959,4,4,"STL,STL,NYY,NYY"
Amos Strunk,1908-1924,4,4,"PHA,PHA,PHA,BOS"
Gene Tenace,1969-1983,4,4,"OAK,OAK,OAK,STL"
Mike Timlin,1991-2008,4,4,"TOR,TOR,BOS,BOS"
Bernie Williams,1991-2006,4,4,"NYY,NYY,NYY,NYY"
Sam Bankhead,1932-1948,4,3,"HG,HG,CBE,HG"
Don Gullett,1970-1978,4,3,"CIN,CIN,NYY,NYY"
Bump Hadley,1926-1941,4,3,"NYY,NYY,NYY,NYY"
Myril Hoag,1931-1945,4,3,"NYY,NYY,NYY,NYY"
Sandy Koufax*,1955-1966,4,3,"BRO,LAD,LAD,LAD"
Javier López,2003-2016,4,3,"BOS,SFG,SFG,SFG"
Jack Morris*,1977-1994,4,3,"DET,MIN,TOR,TOR"
George Pipgras,1923-1935,4,3,"NYY,NYY,NYY,NYY"
Johnny Podres,1953-1969,4,3,"BRO,LAD,LAD,LAD"
Jake Powell,1930-1945,4,3,"NYY,NYY,NYY,NYY"
Bobby Richardson,1955-1966,4,3,"NYY,NYY,NYY,NYY"
Pablo Sandoval,2008-2021,4,3,"SFG,SFG,SFG,ATL"
Wally Schang,1913-1931,4,3,"PHA,BOS,NYY,PHA"
Mike Stanton,1989-2007,4,3,"ATL,NYY,NYY,NYY"
Snuffy Stirnweiss,1943-1952,4,3,"NYY,NYY,NYY,NYY"
Darryl Strawberry,1983-1999,4,3,"NYM,NYY,NYY,NYY"
Pinch Thomas,1912-1921,4,3,"BOS,BOS,BOS,CLE"
Andy Carey,1952-1962,4,2,"NYY,NYY,NYY,NYY"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Carl Mays,1915-1929,4,2,"BOS,BOS,BOS,NYY"
Bob Turley,1951-1963,4,2,"NYY,NYY,NYY,NYY"
Atley Donald,1938-1945,4,1,"NYY,NYY,NYY,NYY"
Larry Haney,1966-1978,4,1,"BAL,OAK,OAK,OAK"
Heinie Wagner,1902-1918,4,1,"BOS,BOS,BOS,BOS"
Joe Glenn,1932-1940,4,0,"NYY,NYY,NYY,NYY"
Jeremy Affeldt,2002-2015,3,3,"SFG,SFG,SFG"
Home Run Baker*,1908-1922,3,3,"PHA,PHA,PHA"
Sal Bando,1966-1981,3,3,"OAK,OAK,OAK"
Charles Bender*,1903-1925,3,3,"PHA,PHA,PHA"
Mookie Betts,2014-2024,3,3,"BOS,LAD,LAD"
Vida Blue,1969-1986,3,3,"OAK,OAK,OAK"
Scott Brosius,1991-2001,3,3,"NYY,NYY,NYY"
Madison Bumgarner,2009-2023,3,3,"SFG,SFG,SFG"
Bullet Joe Bush,1912-1928,3,3,"PHA,BOS,NYY"
Forrest Cady,1912-1919,3,3,"BOS,BOS,BOS"
Bert Campaneris,1964-1983,3,3,"OAK,OAK,OAK"
Bill Carrigan,1906-1916,3,3,"BOS,BOS,BOS"
Mickey Cochrane*,1925-1937,3,3,"PHA,PHA,DET"
Earle Combs*,1924-1935,3,3,"NYY,NYY,NYY"
Roger Craig,1955-1966,3,3,"BRO,LAD,STL"
Rube Curry,1920-1928,3,3,"HIL,CAG,CAG"
Chili Davis,1981-1999,3,3,"MIN,NYY,NYY"
Don Drysdale*,1956-1969,3,3,"LAD,LAD,LAD"
Joe Dugan,1917-1931,3,3,"NYY,NYY,NYY"
Johnny Evers*,1902-1929,3,3,"CHC,CHC,BSN"
Ron Fairly,1958-1978,3,3,"LAD,LAD,LAD"
Rollie Fingers*,1968-1985,3,3,"OAK,OAK,OAK"
Santiago Casilla,2004-2018,3,3,"SFG,SFG,SFG"
Joe Girardi,1989-2003,3,3,"NYY,NYY,NYY"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Dick Green,1963-1974,3,3,"OAK,OAK,OAK"
Alfredo Griffin,1976-1993,3,3,"LAD,TOR,TOR"
